country,locality,yearCollected,eventID,principalInvestigator,samplingProtocol,sampleCollectionDeviceEvent,collectorList,continentOcean,municipality,county,dayCollected,locationID,locationRemarks,decimalLatitude,decimalLongitude,decimalLatitudeEnd,decimalLongitudeEnd,depthOfBottomInMeters,eventEnteredBy,habitat,environmentalMedium,horizontalDatum,island,islandGroup,waterBody,landowner,verbatimLocality,maximumDepthInMeters,maximumElevationInMeters,verbatimElevation,verbatimEventDate,coordinateUncertaintyInMeters,coordinatePrecision,georeferenceProtocol,microHabitat,minimumDepthInMeters,verbatimDepth,minimumElevationInMeters,monthCollected,permitInformation,eventRemarks,stateProvince,taxTeam,timeOfDay,verbatimLatitude,verbatimLongitude,fundingSource,fieldNotes,substratum,earliestEonOrLowestEonothem,latestEonOrHighestEonotheme,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,geologicalContextID,latestChronometricAge,latestChronometricAgeReferenceSystem,earliestChronometricAge,earliestChronometricAgeReferenceSystem,chronometricAgeID,chronometricAgeProtocol,chronometricAgeUncertaintyMethod,chronometricAgeUncertaintyInYears,verbatimChronometricAge,materialDated,uncalibratedChronometricAge,chronometricAgeDeterminedBy,lithostratigraphicTerms,group,formation,member,bed,culturalContext,culturalOccupationPeriod,culturalRegions,culturalAffiliations,waterTemperatureInDegreesCelsius,waterSurfaceTemperatureInDegreesCelsius,bcid,expeditionCode,projectId
Australia,Heron Island,2008,00f27e346be0a0af62ad5b970c6b66ca,Cynthia Riginos,tissue,,Treml/Riginos,,,,11,,,-23.45505,151.9236167,,,,,,,,,,,,,11,,,,,,GPS,,11,,,,"""G08/28114.1; Queensland Government""",no full body,Great Barrier Reef,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BSa200f27e346be0a0af62ad5b970c6b66ca,pomcoe_CO1_CR,1
Australia,Heron Island,2008,00f27e346be0a0af62ad5b970c6b66ca,Cynthia Riginos,tissue,,Treml/Riginos,,,,11,,,-23.45505,151.9236167,,,,,,,,,,,,,11,,,,,,GPS,,11,,,,"""G08/28114.1; Queensland Government""",no full body,Great Barrier Reef,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BSm200f27e346be0a0af62ad5b970c6b66ca,pomcoe_CR_CR,1
Philippines,PadarawResort,2010,00fa46692dae9feb9c90daa82064a7f4,Kazuo Nadaoka,tube feet wre taken with tweezers,,Coralie Taquet,,,,,,,13.04340278,124.06555,,,,,Coral Reef,,,Verde Island,Verde Island Passage,,,,,,,,5000,,Google Maps,,,,,12,AllPermitInfoAvailable in working files Coralie TAQUET-folderInNadaokaLab,,,,,,,"the Global Environment Research Fund (D-0802) of the Ministry of the Environment, Grant-in-Aid-for Research Fellows (No. 2002647) of JSPS (The Japan Society for the Promotion of Science)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BJN200fa46692dae9feb9c90daa82064a7f4,culnov_CO1_ec,1
Indonesia,"""Alam Kotok, Pulau Seribu""",Unknown,0108c6fa333361048de7b7662a933d5e,Paul Barber,"""Obstruct operculum from closing, place in 95% EtOH""",,Eric Crandall,,,,,,,-5.69965,106.5381167,,,,,Intertidal,,,Alam Kotok,,,,,1,4,,,500,,GPS,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2039,,,,,,,DEB-0508788; DEB-0338566; OCE 0349177; IBN-0416713; OCE-06_23699; Lerner-Grey Fund; Conchologists of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BRd20108c6fa333361048de7b7662a933d5e,nerpli_CO1_EC,1
Indonesia,Adoki,2005,011cec75d6a50ea9e31b720506d74aa4,Paul Barber,,,,,,,,,,-1.14217,135.994667,,,,,,,,Pulau Biak,,,,,,,,,2000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2019,,Papua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVE2011cec75d6a50ea9e31b720506d74aa4,Sialae_COI_PB,1
Indonesia,Murex Resort 2,2005,01283043df53d9f01fce5373c0a0b4a2,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,8,,,1.735866694,125.14915,,,,,,,,Bangka,,,,,20,,,,500,,GPS,,0,,,4,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd201283043df53d9f01fce5373c0a0b4a2,linlae_COI_EC,1
Indonesia,"Selayar Fish Market, Selayar, Sulawesi",2006,01332a0b60851327c9edafec3541faf8,P. H. Barber,,,,,,,27,,,-6.152319,120.65016,,,,,,,,,,,,,,,,,20000,,approximated from Google Maps,,,,,,"1187/SU/KS/2006, 04239/ SU.3/KS/2135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/EAZ201332a0b60851327c9edafec3541faf8,ctPIRE-Ccun-mtDNA,453
USA,Natural Energy Laboratory of Hawaiian Authority (NELHA),2008,013a30b03bdcb62ff690a21cb4f842ab,Matthew Iacchei,small piece of antenna or leg is broken off,,"""Matt Iacchei, Kosta Stamoulis, Derek Skillings""",,,,25,,,19.718076,-156.052933,,,,,coral reef,,,Hawaii,Hawaiian Archipelago,,,,6,,,,,,Google Maps,,4,,,4,DLNR SAP #2008-99,,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BRv2013a30b03bdcb62ff690a21cb4f842ab,Panpen_COI_MI,1
Australia,Ashmore Reef,2009,015fffd4cf1bda6a0d1a876f79b475a9,Cynthia Riginos,tissue,,Liggins,,,,12,,,-12.30718333,122.9852167,,,,,,,,,,,,,4,,,,,,GPS,,4,,,5,"""AU-COM2010129; Department of Environment, Water, Heritage and Arts""","""photo, whole fish kept""",Western Australia,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BTK2015fffd4cf1bda6a0d1a876f79b475a9,pomcoe_CR_ll,1
Indonesia,Malalayan,2010,01898a499ec780bc5311e878da149e24,Kazuo Nadaoka,tube feet wre taken with tweezers,,Coralie Taquet,,,,,,,1.70405,124.8548889,,,,,Coral Reef,,,,,,,,,,,,5000,,Google Maps,,,,,2,AllPermitInfoAvailable in working files Coralie TAQUET-folderInNadaokaLab,,,,,,,"the Global Environment Research Fund (D-0802) of the Ministry of the Environment, Grant-in-Aid-for Research Fellows (No. 2002532) of JSPS (The Japan Society for the Promotion of Science)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BJN201898a499ec780bc5311e878da149e24,culnov_CO1_ec,1
Papua New Guinea,Kavieng,2011,0191a4e1ead2b31e74cd01a85e36a1f9,Cynthia Riginos,muscle,,Keyse,,,,23,,,-2.58,150.7381833,,,,,,,,,,,,,2,,,,,,"""Google Earth, not 100% sure of reef patch location""",,2,,,11,research visa no. 10350008304; Dept Env & Conservation/Nat Research Institute,,New Ireland Province,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BLg20191a4e1ead2b31e74cd01a85e36a1f9,halhor_CR_ll,1
Indonesia,Tonuu,2005,01a1e58890acb532b7a43ff045e10c91,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,26,,,1.798433341,127.9994833,,,,,,,,Halmahera,,,,,20,,,,500,,GPS,,0,,,5,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd201a1e58890acb532b7a43ff045e10c91,linlae_COI_EC,1
Indonesia,"Karimunjawa Fish Market, Karimunjawa, Java",2005,01b3beb6b0cb182a4d940201f136362b,P. H. Barber,,,,,,,18,,,-5.871762,110.414604,,,,,,,,,,,,,,,,,20000,,approximated from Google Maps,,,,,,"1187/SU/KS/2006, 04239/ SU.3/KS/2122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/EAZ201b3beb6b0cb182a4d940201f136362b,ctPIRE-Ccun-mtDNA,453
Indonesia,Halmahera,2005,01b9080dffa7ccfd752226e9bebeed9b,Paul Barber,,,,,,,,,,0.730142,128.449745,,,,,,,,Kararorika Island,,,,,,,,,500000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2127,,North Maluku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BMj201b9080dffa7ccfd752226e9bebeed9b,hapham_COI_PB,1
Indonesia,Anak Krakatau,2005,01cbbb20839d435ebad5ab7451f713ed,Paul Barber,small clip of mantle taken with scissors,,,,,,24,,,-6.090416667,105.41825,,,,,Coral Reef,,,,,,,,,,,,500,,GPS,,,,,3,LIPI 1187/SU/KS/2006 and 04239/SU.3/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BXE201cbbb20839d435ebad5ab7451f713ed,trispp_COI_all,1
Indonesia,Station 16,1999,01fadd5b6c99e01df7be3e7415055cf2,Paul Barber,,,,,,,,,,-0.342511,122.003996,,,,,,,,Togian Islands,,,,,,,,,100000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2073,,Central Sulawesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BNg201fadd5b6c99e01df7be3e7415055cf2,Hopsai_COI_PB,1
Philippines,Caban,2010,020c4393bb560042600c08b7ad50eb1e,Kazuo Nadaoka,tube feet wre taken with tweezers,,Coralie Taquet,,,,,,,13.68535833,120.8397556,,,,,Coral Reef,,,Verde Island,Verde Island Passage,,,,,,,,5000,,Google Maps,,,,,12,AllPermitInfoAvailable in working files Coralie TAQUET-folderInNadaokaLab,,,,,,,"the Global Environment Research Fund (D-0802) of the Ministry of the Environment, Grant-in-Aid-for Research Fellows (No. 2002543) of JSPS (The Japan Society for the Promotion of Science)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BJN2020c4393bb560042600c08b7ad50eb1e,culnov_CO1_ec,1
Indonesia,"Jimbaran Fish Market, Bali",2010,020d31b6b978f42a8830708b158c33d3,P. H. Barber,,,,,,,21,,,-8.741076,115.145632,,,,,,,,,,,,,,,,,20000,,approximated from Google Maps,,,,,,0119/FRPSM/VI/2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/EAZ2020d31b6b978f42a8830708b158c33d3,ctPIRE-Ccun-mtDNA,453
Indonesia,"""Alam Kotok, Pulau Seribu""",Unknown,0225bae96ae881e9e5d8fc885f40738c,Paul Barber,"""Obstruct operculum from closing, place in 95% EtOH""",,Eric Crandall,,,,,,,-5.69965,106.5381167,,,,,Intertidal,,,Alam Kotok,,,,,1,4,,,500,,GPS,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2046,,,,,,,DEB-0508788; DEB-0338566; OCE 0349177; IBN-0416713; OCE-06_23699; Lerner-Grey Fund; Conchologists of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BRd20225bae96ae881e9e5d8fc885f40738c,nerpli_CO1_EC,1
Indonesia,Yapen-Pulau Ambai,2005,0233511eb8fb8c2f3459503d8b917efa,Paul Barber,small clip of mantle taken with scissors,,,,,,7,,,-1.960616724,136.3205333,,,,,Coral Reef,,,,,,,,,,,,500,,GPS,,,,,4,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BXE20233511eb8fb8c2f3459503d8b917efa,trispp_COI_all,1
Australia,Mooloolaba,2009,0249a6347ad37ab525bde02f555ef346,Cynthia Riginos,gonads,,Treml/Liggins,,,,25,,,-26.68793,153.1322,,,,,,,,,,,,,2,,,,,,GPS,,2,,,7,QLD18636; QLD Dept of Fisheries,photo 2,Brisbane,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BWm20249a6347ad37ab525bde02f555ef346,trigra_CO1_ll,1
