country,locality,yearCollected,eventID,principalInvestigator,samplingProtocol,sampleCollectionDeviceEvent,collectorList,continentOcean,municipality,county,dayCollected,locationID,locationRemarks,decimalLatitude,decimalLongitude,decimalLatitudeEnd,decimalLongitudeEnd,depthOfBottomInMeters,eventEnteredBy,habitat,environmentalMedium,horizontalDatum,island,islandGroup,waterBody,landowner,verbatimLocality,maximumDepthInMeters,maximumElevationInMeters,verbatimElevation,verbatimEventDate,coordinateUncertaintyInMeters,coordinatePrecision,georeferenceProtocol,microHabitat,minimumDepthInMeters,verbatimDepth,minimumElevationInMeters,monthCollected,permitInformation,eventRemarks,stateProvince,taxTeam,timeOfDay,verbatimLatitude,verbatimLongitude,fundingSource,fieldNotes,substratum,earliestEonOrLowestEonothem,latestEonOrHighestEonotheme,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,geologicalContextID,latestChronometricAge,latestChronometricAgeReferenceSystem,earliestChronometricAge,earliestChronometricAgeReferenceSystem,chronometricAgeID,chronometricAgeProtocol,chronometricAgeUncertaintyMethod,chronometricAgeUncertaintyInYears,verbatimChronometricAge,materialDated,uncalibratedChronometricAge,chronometricAgeDeterminedBy,lithostratigraphicTerms,group,formation,member,bed,culturalContext,culturalOccupationPeriod,culturalRegions,culturalAffiliations,waterTemperatureInDegreesCelsius,waterSurfaceTemperatureInDegreesCelsius,bcid,expeditionCode,projectId
Indonesia,"""Anarawis, Kaimana""",Unknown,5870cc3100bcab81523057a2c45bcf92,Paul Barber,,,,,,,,,,-3.927008,134.046008,,,,,Coral Reef,,,,,,,,20,,,,500000,,Google Earth,,0,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BEv25870cc3100bcab81523057a2c45bcf92,ampper_CR_PB,1
Philippines,Caban,2010,5877bdeaa64441472e8bd9d2160fd223,Kazuo Nadaoka,tube feet wre taken with tweezers,,Coralie Taquet,,,,,,,13.68535833,120.8397556,,,,,Coral Reef,,,Verde Island,Verde Island Passage,,,,,,,,5000,,Google Maps,,,,,12,AllPermitInfoAvailable in working files Coralie TAQUET-folderInNadaokaLab,,,,,,,"the Global Environment Research Fund (D-0802) of the Ministry of the Environment, Grant-in-Aid-for Research Fellows (No. 2002544) of JSPS (The Japan Society for the Promotion of Science)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BJN25877bdeaa64441472e8bd9d2160fd223,culnov_CO1_ec,1
Saudi Arabia,Thuwal,2014,588bc9bff654a6f219eb2edbcfe7288d,Michael Berumen,,,,,,,,,,22.266064,38.963594,,,,,,,,,,,,,,,,,,,GPS,,,,,,SaudiFishandWildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BER2588bc9bff654a6f219eb2edbcfe7288d,acasoh_CO1_JD,1
Tonga,The Corner,2009,58991d0c9b3f85594689b2e61d08cffe,Cynthia Riginos,tissue,,Treml,,,,12,,,-19.64858333,-174.3006667,,,,,,,,,,,,,,,,,,,,,,,,3,"""Ministry of Agriculture, Food, Forests and Fisheries, Ref: F1/37/09, MOFISH(CAB)02/09 (to Josh Drew)""",,,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BJy258991d0c9b3f85594689b2e61d08cffe,dastri_CR_ll,1
Tonga,The Corner,2009,58991d0c9b3f85594689b2e61d08cffe,Cynthia Riginos,tissue,,Treml,,,,12,,,-19.64858333,-174.3006667,,,,,,,,,,,,,,,,,,,,,,,,3,"""Ministry of Agriculture, Food, Forests and Fisheries, Ref: F1/37/09, MOFISH(CAB)02/09 (to Josh Drew)""",,,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BLg258991d0c9b3f85594689b2e61d08cffe,halhor_CR_ll,1
Indonesia,Pulau Weh,2005,58b54b7e19ab1978bb98f992add704b3,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,5,,,5.616416667,95.69966669,,,,,,,,Pulau_Weh,,,,,20,,,,500,,GPS,,0,,,5,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,Aceh,,,,,NSF OCE-0349177; NSF DEB-0339014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd258b54b7e19ab1978bb98f992add704b3,linlae_COI_EC,1
Australia,Hobart,2018,58b5680efbaba6bfa631055134307a15,O. Selma Klanten,,,Kristine O'Keefe| John Turnbull,,,,21,,,-42.998882,147.330808,,,,,,,,,,,,,,,,,100,,Google Maps,,,,,1,DPI TAS 17145 (2017-2018),,,,,,,Seaworld Research & Rescue Foundation INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dbt258b5680efbaba6bfa631055134307a15,Phyllopteryx_taeniolatus_RADSEQ_Aus,293
Indonesia,Rakata (Krakatau Besar),2005,58c72625d2449f39c57274d21e882a7a,Paul Barber,small clip of mantle taken with scissors,,,,,,23,,,-6.147183333,105.4632667,,,,,Coral Reef,,,,,,,,,,,,500,,GPS,,,,,3,LIPI 1187/SU/KS/2006 and 04239/SU.3/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BXE258c72625d2449f39c57274d21e882a7a,trispp_COI_all,1
Indonesia,"Padang Fish Market, Padang, Sumatra",2010,58f5490695598fcb0ea65ae052c04353,P. H. Barber,,,,,,,4,,,-1.021429,100.291005,,,,,,,,,,,,,,,,,20000,,approximated from Google Maps,,,,,,0119/FRPSM/VI/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/EAZ258f5490695598fcb0ea65ae052c04353,ctPIRE-Ccun-mtDNA,453
Indonesia,Siau,2005,5902c67cd21e901166c35556fc53d2ee,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,24,,,2.754216667,125.3644667,,,,,,,,Siau,Sangihe,,,,20,,,,500,,GPS,,0,,,7,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0339025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd25902c67cd21e901166c35556fc53d2ee,linlae_COI_EC,1
Indonesia,"""bunaken, taman nasional bunaken, bunaken, manado, indonesia""",2005,5916436bef03583b2bc366b4fb7e925f,Paul Barber,small clip of mantle taken with scissors,,,,,,18,,,1.6235162,124.7602683,,,,,Coral Reef,,,,,,,,,,,,6700,,Geocoded in Google Maps,,,,,4,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BXE25916436bef03583b2bc366b4fb7e925f,trispp_COI_all,1
Indonesia,Kararorika,2005,59182b4e2d3f017b89c280be4a663129,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,28,,,2.103916675,127.7863833,,,,,,,,Halmahera,,,,,20,,,,500,,GPS,,0,,,5,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd259182b4e2d3f017b89c280be4a663129,linlae_COI_EC,1
,Bali,2005,591f12c7d9de3ea4c0f827ee57a739ed,Marc Kochzius,,,,,,,,,,-8.531403,115.511325,,,,,,,,,,,,,,,,,5000,,Google Earth,,,,,,"""The SPICE project (Science for the protection of indonesian Coastal marine Ecosystems) was conducted and permitted under the governmental agreement between the German Federal Ministry of Education and Research (BMBF) and the Indonesian Ministry for Research and Technology (RISTEK), Indonesian Institute of Sciences (LIPI), Indonesian Ministry of Maritime Affairs and Fisheries (DKP), and Agency for the Assessment and Application of Technology (BPPT). This work was carried out in co-operation with Hassanuddin University (UNHAS, Makassar, Indonesia), Agricultural University Bogor (IPB, Bogor, Indonesia), and Jenderal Soedirman University (Purwokerto, Indonesia).""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BWN2591f12c7d9de3ea4c0f827ee57a739ed,thycry_CO1_mk,1
Indonesia,Tichus Island,2010,592ca8af0697f48c7fd64f312e05af55,Kazuo Nadaoka,tube feet wre taken with tweezers,,"Nina Yasuda, Coralie Taquet",,,,16,,,-5.815952778,106.5988278,,,,,Coral Reef,,,,,,,,,,,,5000,,Google Maps,,,,,2,AllPermitInfoAvailable in working files Coralie TAQUET-folderInNadaokaLab,,,,,,,"the Global Environment Research Fund (D-0802) of the Ministry of the Environment, Grant-in-Aid-for Research Fellows (No. 2002625) of JSPS (The Japan Society for the Promotion of Science)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BJN2592ca8af0697f48c7fd64f312e05af55,culnov_CO1_ec,1
Indonesia,Jefman Island,2005,594f371090a1447d4f157e31c865b85f,Paul Barber,,,,,,,,,,-0.923119,131.123333,,,,,,,,Jefman (Yef Man) Island,,,,,,,,,2000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2037,,West Papua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BNg2594f371090a1447d4f157e31c865b85f,Hopsai_COI_PB,1
Australia,Ashmore Reef,2010,59723780ec21a870a011dbda8c8d5a81,Cynthia Riginos,tissue,,Liggins,,,,23,,,-12.21583333,123.005,,,,,,,,,,,,,6,,,,,,GPS,,6,,,5,"""AU-COM2010149; Department of Environment, Water, Heritage and Arts""","""photo, whole fish voucher for museum""",Western Australia,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BLg259723780ec21a870a011dbda8c8d5a81,halhor_CR_ll,1
Indonesia,Sebuku1,2005,5975713bb050de1f07d30706fe600b9f,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,26,,,-5.879666666,105.5338167,,,,,,,,Sebuku,Krakatau,,,,20,,,,500,,GPS,,0,,,3,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd25975713bb050de1f07d30706fe600b9f,linlae_COI_EC,1
Indonesia,"Anyer Fish Market, Anyer, Krakatau",2005,5978c7f98e739784213e531271261239,P. H. Barber,,,,,,,,,,-6.120368,105.415856,,,,,,,,,,,,,,,,,20000,,approximated from Google Maps,,,,,,"1187/SU/KS/2006, 04239/ SU.3/KS/2029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/EAZ25978c7f98e739784213e531271261239,ctPIRE-Ccun-mtDNA,453
Indonesia,"Biak Fish Market, Biak, Papua",2005,597ce0efaf56bbf265d3fc3f48cbf9bb,P. H. Barber,,,,,,,19,,,-1.192535,136.037464,,,,,,,,,,,,,,,,,20000,,approximated from Google Maps,,,,,,"1187/SU/KS/2006, 04239/ SU.3/KS/2128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/EAZ2597ce0efaf56bbf265d3fc3f48cbf9bb,ctPIRE-Ccun-mtDNA,453
Indonesia,Talise beach,2010,597f99655e3c75b35182c4d47c9142bc,Kazuo Nadaoka,tube feet wre taken with tweezers,,Coralie Taquet,,,,,,,-0.875480556,119.8570111,,,,,Coral Reef,,,,,,,,,,,,5000,,Google Maps,,,,,2,AllPermitInfoAvailable in working files Coralie TAQUET-folderInNadaokaLab,,,,,,,"the Global Environment Research Fund (D-0802) of the Ministry of the Environment, Grant-in-Aid-for Research Fellows (No. 2002675) of JSPS (The Japan Society for the Promotion of Science)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BJN2597f99655e3c75b35182c4d47c9142bc,culnov_CO1_ec,1
Indonesia,Tanjung Jere,1999,598440aeb0c781735d9bf8d42e933780,Paul Barber,,,,,,,,,,-0.22939,127.976694,,,,,,,,Halmahera,,,,,,,,,2000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2122,,North Maluku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVE2598440aeb0c781735d9bf8d42e933780,Sialae_COI_PB,1
Indonesia,Namatote (Namatota),2006,59adc3b83c5e7e3435508fbf5a77a761,Paul Barber,,,,,,,,,,-3.791255,133.895107,,,,,,,,Pulau Namatota,,,,,,,,,15000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2052,,West Papua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BNg259adc3b83c5e7e3435508fbf5a77a761,Hopsai_COI_PB,1
Indonesia,Kadidiri,1998,59aec6af11987e6f9d89e0337a27a63f,Paul Barber,,,,,,,,,,-0.35505,121.845207,,,,,,,,Kadidiri,,,,,,,,,2000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2171,,Central Sulawesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BMj259aec6af11987e6f9d89e0337a27a63f,hapham_COI_PB,1
Australia,Lihou Reef,2008,59b6e32bb87f453a69b7cd705e5d6349,Riginos,tissue,,Treml,,,,8,,,-17.59903333,151.4884,,,,,,,,,,,,,6,,,,,,GPS,,6,,,12,AU-COM2008042; Australian Government,,Coral Sea,,,,,ARC_DP0878306,ID questionable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BYk259b6e32bb87f453a69b7cd705e5d6349,Tridacnaspecies_variouslocations_COI,1
Indonesia,Kararorika,2005,59ce67e8bdfee0f9d0a9fada284216b4,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,28,,,2.103916675,127.7863833,,,,,,,,Halmahera,,,,,20,,,,500,,GPS,,0,,,5,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd259ce67e8bdfee0f9d0a9fada284216b4,linlae_COI_EC,1
Indonesia,Karang Serang,2005,59d9d8e60beff8b68023e77325fcce97,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,25,,,-6.109466667,105.4398833,,,,,,,,Karang Serang,Krakatau,,,,20,,,,500,,GPS,,0,,,3,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd259d9d8e60beff8b68023e77325fcce97,linlae_COI_EC,1
Indonesia,Nasauleng,2006,5a1bfc5ca5680f844052fb3e751998d6,Paul Barber,,,,,,,,,,-2.924405,132.246814,,,,,,,,Papua,,,,,,,,,2000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2082,,West Papua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BNg25a1bfc5ca5680f844052fb3e751998d6,Hopsai_COI_PB,1
Indonesia,"""pulau taneti, ligua, kayoa, south halmahera, indonesia""",2005,5a2410934d43e0cc3fac0ed243a2f661,Paul Barber,small clip of mantle taken with scissors,,,,,,17,,,-0.1166667,127.25,,,,,Coral Reef,,,,,,,,,,,,69510,,Geocoded in Google Maps,,,,,9,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BXE25a2410934d43e0cc3fac0ed243a2f661,trispp_COI_all,1
Indonesia,Kodingareng Keke,2012,5a38ae3d6f2913c7856b98e6b6953b1d,Kazuo Nadaoka,tube feet wre taken with tweezers,,Coralie Taquet,,,,,,,-4.875555556,119.1144444,,,,,Coral Reef,,,,,,,,,,,,10000,,Google Maps,,,,,2,AllPermitInfoAvailable in working files Coralie TAQUET-folderInNadaokaLab,,,,,,,"the Global Environment Research Fund (D-0802) of the Ministry of the Environment, Grant-in-Aid-for Research Fellows (No. 2002721) of JSPS (The Japan Society for the Promotion of Science)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BJN25a38ae3d6f2913c7856b98e6b6953b1d,culnov_CO1_ec,1
Philippines,Philippines,1994,5a4227a8592286b531a6658cfb3071c8,Kimberly Andrews,,,,,,,,,,8.85,123.1166667,,,,,,,,,,,,,,,,,,,estimated from other samples,,,,,,"""NMFS permits, state permits, & CITES permits""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVj25a4227a8592286b531a6658cfb3071c8,stelon_CR_ka,1
Philippines,Philippines,1994,5a4227a8592286b531a6658cfb3071c8,Kimberly Andrews,,,,,,,,,,8.85,123.1166667,,,,,,,,,,,,,,,,,,,estimated from other samples,,,,,,"""NMFS permits, state permits, & CITES permits""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVp25a4227a8592286b531a6658cfb3071c8,stelon_CyB_ka,1
Indonesia,Rasbar,1995,5a4973df05036a44dd9c7b2bc0de8daa,Paul Barber,,,,,,,,,,-1.25467,136.317833,,,,,,,,Biak,,,,,,,,,2000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2041,,Papua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BMj25a4973df05036a44dd9c7b2bc0de8daa,hapham_COI_PB,1
American Samoa,Amouli Beach,2027,5a4f3b8776c839ea51812ca1d97109e3,Paul Barber,"Obstruct operculum from closing, place in 95% EtOH",,Eric Crandall,,,,,,,-14.27374,-170.58225,,,,,Intertidal,,,,,,,,2,2,,,500,,GPS,,,,,,Permit to EC from DMWR - 2006/03,,,,,,,"""DEB-0508788; DEB-0338566; OCE 0349177; IBN-0416713; OCE-06_23699; Lerner-Grey Fund; Conchologists of America""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BRX25a4f3b8776c839ea51812ca1d97109e3,neralb_CO1_EC,1
Indonesia,Malalayan,2010,5a515ec636b60e5c0c87fd60230df02d,Kazuo Nadaoka,tube feet wre taken with tweezers,,Coralie Taquet,,,,,,,1.70405,124.8548889,,,,,Coral Reef,,,,,,,,,,,,5000,,Google Maps,,,,,2,AllPermitInfoAvailable in working files Coralie TAQUET-folderInNadaokaLab,,,,,,,"the Global Environment Research Fund (D-0802) of the Ministry of the Environment, Grant-in-Aid-for Research Fellows (No. 2002531) of JSPS (The Japan Society for the Promotion of Science)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BJN25a515ec636b60e5c0c87fd60230df02d,culnov_CO1_ec,1
Indonesia,Halmahera,2005,5a564a494e66e565250717f0f84eeac9,Paul Barber,,,,,,,,,,0.730142,128.449745,,,,,,,,Kararorika Island,,,,,,,,,500000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2069,,North Maluku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVE25a564a494e66e565250717f0f84eeac9,Sialae_COI_PB,1
Indonesia,Waaf,2005,5a6e065508180b1e747049e321546839,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,15,,,-2.125375,130.1307583,,,,,,,,Misool,Raja_Ampat,,,,20,,,,10000,,Google Earth,,0,,,1,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0339098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd25a6e065508180b1e747049e321546839,linlae_COI_EC,1
Indonesia,Jefman Island,2005,5a8278349ae096d4e37b18f2bba2c104,Paul Barber,,,,,,,,,,-0.923119,131.123333,,,,,,,,Jefman (Yef Man) Island,,,,,,,,,2000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2036,,West Papua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BNg25a8278349ae096d4e37b18f2bba2c104,Hopsai_COI_PB,1
Indonesia,"""Teluk Mayalibit , Raja Ampat""",2005,5a9481a43a6c9207015b06fb621e1c76,Paul Barber,small clip of mantle taken with scissors,,,,,,8,,,-0.297466667,130.8081667,,,,,Coral Reef,,,,,,,,,,,,500,,GPS,,,,,7,LIPI 1187/SU/KS/2006 and 04239/SU.3/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BXE25a9481a43a6c9207015b06fb621e1c76,trispp_COI_all,1
Vanuatu,"Lenakel, Tanna",2013,5aa0daebc2ce88a3402c70e48b8a77a9,Paul Barber,"Obstruct operculum from closing, place in 95% EtOH",,Eric Crandall,,,,,,,-19.53027,169.2625,,,,,Intertidal,,,Tanna,,,,,2,2,,,500,,GPS,,,,,,Permit to EC from Vanuatu Environment Unit,,,,,,,"""DEB-0508788; DEB-0338566; OCE 0349177; IBN-0416713; OCE-06_23699; Lerner-Grey Fund; Conchologists of America""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BRX25aa0daebc2ce88a3402c70e48b8a77a9,neralb_CO1_EC,1
Saudi Arabia,Red Sea,2015,5ab4ffcde008952b37bd87699e752913,Brian Bowen,,,,,,,1,,,20.1303,38.726,,,,,,,,,,,,,,,,,100000,,google maps,,,,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dab25ab4ffcde008952b37bd87699e752913,1234,309
USA,Necker,2005,5af22ea71f950e2dc6962e9e52f3d0aa,Brian Bowen,,,,,,,,,,23.6,-164.65,,,,,,,,Necker,,,,,,,,,,,GPS,,,,,,NWHI_Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BDm25af22ea71f950e2dc6962e9e52f3d0aa,acanigror_CyB_JD,1
USA,Laysan,2005,5b06d1c06fbb7d2d9b18051495b85b65,Brian Bowen,,,,,,,,,,25.78333333,-171.75,,,,,,,,Laysan,,,,,,,,,,,GPS,,,,,,NWHI_Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BDm25b06d1c06fbb7d2d9b18051495b85b65,acanigror_CyB_JD,1
USA,French Frigate Shoals,2009,5b52609ccffe23c95746e4fff28b7d68,Matthew Iacchei,small piece of antenna or leg is broken off,,"""Matt Iacchei, Rob Toonen, Scott Godwin, Derek Skillings""",,,,13,,,23.86448333,-166.1997,,,,,coral reef,,,French Frigate Shoals,Hawaiian Archipelago,,,,10,,,,,,GPS,small cave; overhang; puka or hole in the rock,3,,,6,PMNM-2009-032L,,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BRv25b52609ccffe23c95746e4fff28b7d68,Panpen_COI_MI,1
East Timor,Behau,2011,5b55065c2867f309d9c529d91751550e,Cynthia Riginos,tissue sample,,Liggins,,,,23,,,-8.471265,125.887245,,,,,,,,,,,,,5,,,,,,Handheld GPS,,5,,,7,"""Ministufffdrio da Aquicultura e Pescas, Direcufffdufffdo Nacional de Pescas e Aquicultura (authorised by A Fernandes, L Fontes, J Freitas; guia de marssa: 502/DNPA/VIII/10 and 452/DNPA/VII/11). Export of samples was authorised by the Departmento de Quarentena das Pescas (export permit: 162/FQ006/EXP./DNQB/VII/2011)""",,Timor Leste,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BJy25b55065c2867f309d9c529d91751550e,dastri_CR_ll,1
Indonesia,Mamboro beach,2010,5b704adde178e257160a5251892b48c8,Kazuo Nadaoka,tube feet wre taken with tweezers,,Coralie Taquet,,,,,,,-0.875480556,119.8570111,,,,,Coral Reef,,,,,,,,,,,,5000,,Google Maps,,,,,2,AllPermitInfoAvailable in working files Coralie TAQUET-folderInNadaokaLab,,,,,,,"the Global Environment Research Fund (D-0802) of the Ministry of the Environment, Grant-in-Aid-for Research Fellows (No. 2002662) of JSPS (The Japan Society for the Promotion of Science)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BJN25b704adde178e257160a5251892b48c8,culnov_CO1_ec,1
East Timor,East of Dili,2010,5b91f906e1208ef450c6de49a613bea4,Cynthia Riginos,tissue,,Liggins,,,,4,,,-8.471265,125.887245,,,,,,,,,,,,,3,,,,,,google earth,,3,,,8,"""Ministufffdrio da Aquicultura e Pescas, Direcufffdufffdo Nacional de Pescas e Aquicultura (authorised by A Fernandes, L Fontes, J Freitas; guia de marssa: 502/DNPA/VIII/10 and 452/DNPA/VII/11). Export of samples was authorised by the Departmento de Quarentena das Pescas (export permit: 162/FQ006/EXP./DNQB/VII/2011)""","""photo, whole fish kept, present in AUSTRALIA""",Timor Leste,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BTK25b91f906e1208ef450c6de49a613bea4,pomcoe_CR_ll,1
Australia,Ningaloo Marine Park,2009,5b96259a24a7bd8ede9bee5d94bbfd7e,Cynthia Riginos,tissue,,Treml/Riginos,,,,11,,,-23.17458333,113.76485,,,,,,,,,,,,,2,,,,,,GPS,,2,,,6,SF006619/CE002227; WA-DEC,,Western Australia,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BWy25b96259a24a7bd8ede9bee5d94bbfd7e,trispp_16S_all,1
